,stock_code,maximum_drawdown,maximum_drawdown_percentage,rate,gain,stop,annualized_returns
69,VALE3,-34563.08181800036,-64.30866320105164,34.39767779390421,0.8000000000000003,0.15000000000000002,23.35168650688777
70,WDO,-22154.739999999903,-25.939541434066772,34.17015341701534,0.8000000000000003,0.15000000000000002,17.216466798667753
71,WIN,-19886.332500000135,-20.916306548937584,34.09395973154362,0.8000000000000003,0.15000000000000002,21.6045895748197
72,PETR4,-33844.9364450002,-35.07798964142681,34.11279229711142,0.8500000000000003,0.15000000000000002,29.900933896410375
73,VALE3,-34040.55466700015,-60.49670574986452,34.39767779390421,0.8500000000000003,0.15000000000000002,24.547541214675373
74,WDO,-22054.899999999907,-25.979583760405895,33.98601398601399,0.8500000000000003,0.15000000000000002,16.706141754624127
75,WIN,-20494.400100000013,-20.957390477014773,34.40860215053764,0.8500000000000003,0.15000000000000002,24.353752547963126
76,PETR4,-33834.34432099998,-34.63895539015164,34.21052631578947,0.9000000000000004,0.15000000000000002,34.958436373065815
77,VALE3,-37092.718367000096,-65.78522117732264,34.35225618631732,0.9000000000000004,0.15000000000000002,23.293822477110716
78,WDO,-21255.054999999877,-26.48099787879733,33.80084151472651,0.9000000000000004,0.15000000000000002,18.36584534492831
79,WIN,-21255.839099999983,-23.19488662776059,34.28184281842818,0.9000000000000004,0.15000000000000002,21.440696440145235
80,PETR4,-33834.344321,-41.90216108523829,33.98328690807799,0.9500000000000004,0.15000000000000002,28.74918334307308
81,VALE3,-36830.65286800011,-65.5859472543299,33.96778916544656,0.9500000000000004,0.15000000000000002,26.811535764214067
82,WDO,-23694.12999999986,-26.48099787879733,33.42696629213483,0.9500000000000004,0.15000000000000002,16.429005135085518
83,WIN,-21205.82090000002,-22.122389549547833,33.96739130434783,0.9500000000000004,0.15000000000000002,21.40957443756848
84,PETR4,-33834.34432099998,-38.68495718856395,33.798882681564244,1.0000000000000004,0.15000000000000002,32.68083504771613
85,VALE3,-38996.83764200017,-70.2934857383216,34.11764705882353,1.0000000000000004,0.15000000000000002,28.100684884747885
86,WDO,-25612.957499999844,-26.62603070720427,33.286318758815234,1.0000000000000004,0.15000000000000002,14.417936331221703
87,WIN,-20953.795700000017,-21.999589619765498,33.83356070941337,1.0000000000000004,0.15000000000000002,21.78264914405279
88,PETR4,-35977.27859300001,-52.34564586184543,38.998682476943344,0.5,0.20000000000000004,16.43894877075045
89,VALE3,-25258.06938200006,-42.619415781011185,41.32231404958678,0.5,0.20000000000000004,30.168461958326944
90,WDO,-19991.50749999989,-27.806869326838928,40.7967032967033,0.5,0.20000000000000004,23.236046871343486
91,WIN,-19049.396000000095,-22.357750150301055,39.94708994708995,0.5,0.20000000000000004,16.579599157082804
92,PETR4,-35977.278593000025,-56.366857567291305,38.584779706275036,0.55,0.20000000000000004,10.706464596204523
93,VALE3,-23858.598745000032,-39.48726153307064,40.83916083916084,0.55,0.20000000000000004,33.08666909580338
94,WDO,-18883.762499999866,-32.68881728662634,40.41958041958042,0.55,0.20000000000000004,18.945060398987646
95,WIN,-18585.273200000054,-24.701831688936256,39.86666666666667,0.55,0.20000000000000004,17.233241290291335
96,PETR4,-35977.278593000025,-55.04251971146187,38.32658569500675,0.6000000000000001,0.20000000000000004,15.606662001568283
97,VALE3,-32545.208847000125,-53.79772272098528,39.45868945868946,0.6000000000000001,0.20000000000000004,27.424066914733647
